system,alexnet_fp16,alexnet_fp32,inception3_fp16,inception3_fp32,inception4_fp16,inception4_fp32,resnet152_fp16,resnet152_fp32,resnet50_fp16,resnet50_fp32,vgg16_fp16,vgg16_fp32
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt2_TF1_15_8x,36992.17,23037.13,1625.53,1288.91,642.99,403.32,952.59,631.49,2343.89,1990.39,2001.19,1040.27
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF1_15_8x,38587.03,25850.12,1605.52,1463.40,719.08,528.72,1046.99,724.91,2444.77,2213.43,2093.20,1220.10
Gold_6230-GeForce_RTX_2080_Ti_trt2_TF1_15_8x,36809.84,16973.87,1597.39,1279.36,614.96,384.21,914.38,566.11,2331.81,1883.34,1932.36,906.88
Gold_6230-GeForce_RTX_2080_Ti_trt_TF1_15_8x,38963.72,26033.40,1604.35,1470.01,719.90,524.70,1045.02,729.76,2436.06,2209.27,2105.62,1219.94
