system,alexnet_fp16,alexnet_fp32,inception3_fp16,inception3_fp32,inception4_fp16,inception4_fp32,resnet152_fp16,resnet152_fp32,resnet50_fp16,resnet50_fp32,vgg16_fp16,vgg16_fp32
Gold_6230-Quadro_RTX_8000_NVLink_trt2_TF2_2_8x,53265.09,24395.53,1981.64,1681.74,985.39,683.74,1372.81,906.90,2739.17,2517.71,2972.84,1483.94
Gold_6230-Quadro_RTX_8000_NVLink_trt_TF1_15_8x,50549.58,23661.81,2151.74,1726.93,1051.85,726.24,1388.10,929.88,3003.75,2538.33,2865.19,1347.13
Gold_6230-Quadro_RTX_8000_trt2_TF2_2_8x,53446.07,24604.68,1951.46,1697.18,972.55,689.32,1415.66,914.23,2758.27,2522.17,2986.70,1488.47
Gold_6230-Quadro_RTX_8000_trt_TF1_15_8x,51236.56,24285.12,2143.52,1723.66,1040.85,724.83,1399.36,940.89,3100.43,2544.13,2886.73,1360.63
