system,alexnet_fp16,alexnet_fp32,inception3_fp16,inception3_fp32,inception4_fp16,inception4_fp32,resnet152_fp16,resnet152_fp32,resnet50_fp16,resnet50_fp32,vgg16_fp16,vgg16_fp32
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt2_TF1_15_8x,35703.50,16208.66,3137.09,1417.17,1216.50,412.39,1864.84,701.88,5421.90,1963.39,2625.74,978.17
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF1_15_8x,36797.27,22436.29,3281.65,1475.45,1247.55,496.48,1915.65,714.83,5529.20,2165.03,2529.86,1081.24
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt2_TF1_15_8x,30087.96,14023.63,3062.17,1307.87,1066.93,381.47,1616.82,572.26,4934.52,1847.53,2098.99,746.89
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF1_15_8x,35393.60,20045.87,3262.60,1475.17,1222.14,490.66,1891.08,712.58,5540.23,2165.08,2541.55,960.65
