name_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
3990X-GeForce_RTX_3080_TF1_15_1x,14297,928,367,490,1469,825
3990X-GeForce_RTX_3080_XLA_TF1_15_1x,16192,952,359,486,1530,964
7742-1xA100-SXM4-40GB_TF2_3_1x,18917,1419,587,772,2092,1309
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF1_15_1x,12047,802,292,434,1243,685
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF2_2_8x,90395,6278,2155,3291,9520,5328
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF1_15_8x,77680,5978,2215,3379,9055,4210
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF2_2_8x,77795,5906,2194,3270,8895,4212
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF1_15_8x,91689,6238,2145,3298,9652,5395
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF2_2_8x,91456,6242,2207,3302,9448,5390
Gold_6230-GeForce_RTX_2080_Ti_trt_TF1_15_8x,78388,5965,2228,3422,9082,4234
Gold_6230-GeForce_RTX_2080_Ti_trt_TF2_2_8x,78324,5930,2220,3331,8978,4267
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt2_TF2_2_8x,104215,7383,2984,4226,11200,6188
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt_TF1_15_8x,104523,7626,3080,4193,11318,6265
Gold_6230-Quadro_RTX_8000_XLA_trt2_TF2_2_8x,105006,7428,2996,4202,11247,6221
Gold_6230-Quadro_RTX_8000_XLA_trt_TF1_15_8x,104444,7699,3079,4235,11337,6272
Platinum-Tesla_1xV100-SXM3-32GB_HP16_TF2_2_1x,14427,1092,471,649,1712,805
Processor-LambdaCloud_1xQuadro_RTX_6000_1x,11534,876,383,520,1319,631
Processor-LambdaCloud_2xQuadro_RTX_6000_2x,23014,1759,766,1041,2623,1267
Processor-LambdaCloud_4xQuadro_RTX_6000_4x,44993,3460,1517,2059,5150,2511
