name_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
3990X-GeForce_RTX_3080_TF1_15_1x,2255,258,103,134,391,261
3990X-GeForce_RTX_3080_XLA_TF1_15_1x,5676,267,107,142,421,281
7742-1xA100-SXM4-40GB_TF2_3_1x,6579,380,168,221,572,364
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF1_15_1x,4165,213,85,122,320,190
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF2_2_8x,20017,1472,488,720,2160,1079
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF1_15_8x,25850,1463,529,725,2213,1220
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF2_2_8x,26399,1465,531,751,2213,1198
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF1_15_8x,20046,1475,491,713,2165,961
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF2_2_8x,19918,1483,493,708,2131,954
Gold_6230-GeForce_RTX_2080_Ti_trt_TF1_15_8x,26033,1470,525,730,2209,1220
Gold_6230-GeForce_RTX_2080_Ti_trt_TF2_2_8x,25568,1470,529,742,2207,1211
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt2_TF2_2_8x,33005,1830,794,1093,2804,1609
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt_TF1_15_8x,32389,1857,799,1100,2851,1592
Gold_6230-Quadro_RTX_8000_XLA_trt2_TF2_2_8x,33119,1841,789,1101,2813,1616
Gold_6230-Quadro_RTX_8000_XLA_trt_TF1_15_8x,32523,1856,801,1103,2857,1600
Platinum-Tesla_1xV100-SXM3-32GB_HP16_TF2_2_1x,5132,273,122,167,432,249
Processor-LambdaCloud_1xQuadro_RTX_6000_1x,4229,223,100,133,333,197
Processor-LambdaCloud_2xQuadro_RTX_6000_2x,6930,431,174,229,629,336
Processor-LambdaCloud_4xQuadro_RTX_6000_4x,12250,848,348,440,1255,660
